secid,sdate,edate,PERMNO,score,crsp,symbol
5593,19960101,19970228,59942,1,crsp_59942,MX
6037,19960101,19990901,38375,1,crsp_38375,WIT
6542,19960101,19970827,77903,1,crsp_77903,RXN
6623,19960101,19971126,77534,1,crsp_77534,MSTR
7888,19960101,19980327,79455,1,crsp_79455,UMC
8513,19960101,19991111,81503,1,crsp_81503,PERI
8534,19960101,20000810,81599,1,crsp_81599,ANET
8903,19960514,19990723,83570,1,crsp_83570,CUI
9063,19961023,19980910,84068,1,crsp_84068,CYBR
100963,19980521,20190628,86051,1,crsp_86051,AXTI
100967,19960102,20190628,10517,1,crsp_10517,AAN
101029,19960102,20190628,79678,1,crsp_79678,ATVI
101044,19960102,20181001,20117,1,crsp_20117,RAMP
101059,19970129,20190628,84385,1,crsp_84385,NSP
101062,19960102,20190628,75510,1,crsp_75510,ADBE
101121,19960102,20190628,61241,1,crsp_61241,AMD
101270,19990723,20190628,87078,1,crsp_87078,MDRX
101281,19960101,20190628,45911,1,crsp_45911,SWKS
101438,19960102,20190628,13777,1,crsp_13777,AMSWA
101472,20161027,20190628,89215,5,crsp_89215,AMN
101479,20101102,20190628,12380,1,crsp_12380,PCYG
101510,19980501,20190628,86047,1,crsp_86047,AMKR
101526,19960101,20190628,65008,1,crsp_65008,ASYS
101535,19960102,20190628,60871,1,crsp_60871,ADI
101566,19960620,20190628,83621,1,crsp_83621,ANSS
101594,19960102,20190628,14593,1,crsp_14593,AAPL
101610,19960101,20190628,14702,1,crsp_14702,AMAT
101675,19960102,20190628,29209,1,crsp_29209,ARW
101718,19960102,20190628,80957,1,crsp_80957,AZPN
101777,19960101,20190628,75033,1,crsp_75033,VOXX
101793,19990326,20190628,86763,1,crsp_86763,AUTO
101795,19960101,20190628,85631,1,crsp_85631,ADSK
101800,19960101,20190628,44644,1,crsp_44644,ADP
101803,19960101,20190628,79338,1,crsp_79338,SGMS
101838,19960102,20190628,78955,1,crsp_78955,AVID
101846,19960102,20190628,27684,1,crsp_27684,AVT
